frame,timestamp,pitch,yaw,roll
0,0.0,-99.17526299377377,-81.33773025239961,-98.97283875576518
1,0.01668421052631579,-98.3530445139899,-82.17029968658785,-98.02046975517774
2,0.03336842105263158,-103.32419697725314,-81.63789576402502,-103.58979080956142
3,0.05005263157894737,-98.84613115019546,-82.77387150810934,-98.67701580920692
4,0.06673684210526316,-101.47401819810756,-81.2340405590844,-101.52617456671231
5,0.08342105263157895,-97.35723463523222,-82.76041751055564,-97.15751654617195
6,0.10010526315789474,-99.51292230637044,-80.53178165728568,-99.91695357377543
7,0.11678947368421053,-97.6382112867821,-83.73408755022288,-97.48367041596522
8,0.13347368421052633,-99.1633645043464,-80.67691966930458,-99.42732729097148
9,0.1501578947368421,-99.67688247171664,-82.8449452418379,-100.00763088867672
10,0.1668421052631579,-99.79180123205941,-81.8345126358627,-100.04534835462
11,0.1835263157894737,-99.95408738885182,-82.40438524344131,-100.62120755721165
12,0.20021052631578948,-100.4455901390003,-82.19098349114435,-100.77235999323503
13,0.21689473684210528,-98.70783504196866,-82.463677774198,-98.9364506065784
14,0.23357894736842105,-98.64711530237135,-81.54181147954871,-99.50431095700283
15,0.25026315789473685,-99.40722651528712,-82.78495721218285,-99.71282512778902
16,0.26694736842105266,-101.20539138215833,-81.14893784550777,-102.09853393587467
17,0.28363157894736846,-97.63641514551102,-81.54924451183335,-97.75302934574474
18,0.3003157894736842,-99.75398516303942,-81.19854884015378,-100.20974551892292
19,0.317,-100.86703712993798,-82.96750785012999,-101.36201169992638
20,0.3336842105263158,-101.75680304532393,-81.44741874613331,-102.11336650395786
21,0.3503684210526316,-99.20479703985599,-82.3465236652154,-99.81868209242279
22,0.3670526315789474,-101.31991797617505,-81.56666787993838,-101.95886153022032
23,0.38373684210526315,-97.47648887068262,-82.36822208200303,-98.20762720565646
24,0.40042105263157896,-100.11518349190877,-81.46159902710333,-100.61807395235451
25,0.41710526315789476,-99.00884496916801,-82.43480379512748,-99.52487351484174
26,0.43378947368421056,-102.48466306880375,-82.31655472148374,-103.12657714220265
27,0.45047368421052636,-99.3359682551409,-80.43024226167769,-99.77579396009968
28,0.4671578947368421,-98.26639148661306,-83.31138113446171,-98.81386898005366
29,0.4838421052631579,-99.53245252142254,-80.44140308800174,-100.56142204892197
30,0.5005263157894737,-96.74585252908433,-82.45168343325032,-97.36806038058523
31,0.5172105263157895,-100.67475927408215,-81.63477311055479,-101.14553710807168
32,0.5338947368421053,-96.93579825755637,-83.00257361546412,-97.7220153980596
33,0.5505789473684211,-102.49024542783519,-81.80918478295546,-103.56197378164133
34,0.5672631578947369,-98.45314450311663,-82.51430983974416,-99.26395223803108
35,0.5839473684210527,-98.36282073749844,-82.83938146270037,-99.30763121146623
36,0.6006315789473684,-101.81714758220276,-81.37638620861617,-103.29303060859222
37,0.6173157894736843,-94.11237193319498,-83.643898806291,-94.8228445587561
38,0.634,-99.81498661140934,-81.82528475603306,-101.53722778879377
39,0.6506842105263159,-101.24073398743468,-83.09038816978493,-102.93475946983277
40,0.6673684210526316,-96.17961383676442,-82.5702217624299,-97.06120308802173
41,0.6840526315789474,-98.41672775923348,-82.31933940950758,-99.96075057746948
42,0.7007368421052632,-100.75962718702921,-81.53777248859751,-101.63451191607766
43,0.717421052631579,-95.42177007388075,-82.44479720772266,-96.14543983442296
44,0.7341052631578948,-99.23207640911474,-81.20442075794494,-100.28882421952814
45,0.7507894736842106,-94.5231685210996,-83.06132357585018,-95.01190555708779
46,0.7674736842105263,-101.3914070472413,-81.2102295211409,-102.98121663053325
47,0.7841578947368422,-97.30103867794368,-82.62812543987839,-97.97183846003566
48,0.8008421052631579,-100.01987369345088,-82.1070792304093,-101.1897237096872
49,0.8175263157894738,-101.481226771006,-82.33816877099879,-102.51254699788537
